ResourceID,External Cross Reference Notes,Storage Area Name,Journal or Series Volume Description,Title Type,Quantity,Contributor,Publisher Name,Creator,Road or Street Name,Archive Description Type,Repository Name,Subjects,Archive End Date,Journal or Series Name,Resource ID,Copyright Description,Archive Description text,Extent Measurement Unit,Amender,Archive Start Date,Number in Road or Street,Archive Source Format,Source Title,Archive Source Type,Publication Location Name,Periods,External Cross Reference Number,Language,Postal Code,Language,External Cross Reference Source,Copyright Type,Journal or Series Pages,Date of Publication,File,Statement of Responsibility
725ecc03-5e7b-4c74-b5ee-1e6bdf1b2722,,,,,,,The Friends of Lincoln Cathedral,,,,,,,,,,,,,,,,The Origin and Growth of Cathedral Foundations (as illustrated by the Cathedral Church of Lincoln),Leaflet,,,1866,,,,Lincoln Heritage Database Sources,,,1965,,"Srawley, Rev. Canon J. H."
72ed482d-3a61-4c22-8088-09a738f5ed74,,,,,,,Ordnance Survey,,,,,,,,,,,,,,,,Digital map of Lincoln,Map,,,1211,,,,Lincoln Heritage Database Sources,,,2001,,Ordnance Survey
73788c92-0cb5-44ae-91cf-7e7b3d3379b5,,,,,,,City of Lincoln Archaeology Unit,,,,,,,,,,,,,,,,Colour print catalogue (Newport Arch),Catalogue,,,1538,,,,Lincoln Heritage Database Sources,,,2000,,"Trimble, R."
758ed908-6b5a-4c49-93f4-7308d69103af,,,,,,,,,,,,,1788,,,,,,,1784,,,"Lincoln, Norman building",Drawing,,,2655,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
759eab16-a65f-4830-85eb-917fa6a696cd,,,,,,,,,,,,,,,,,,,,,,,Determination of burnt bones from Prehistoric Graves,Correspondence,,,700,,,,Lincoln Heritage Database Sources,,,1981,,"Gejvall, N. G."
76ccfd2a-f95e-4a96-893f-991aba25d218,,,,,,,,,,,,,1788,,,,,,,1784,,,"Lincoln, Roman gate near the Chequer",Drawing,,,2653,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
773ccb85-2e08-41f3-a7dd-a803923930fc,,,,,,,Unpublished,,,,,,,,,,,,,,,,Box file of notes and cuttings concerning Lincolns theatres,Manuscript,,,2580,,,,Lincoln Heritage Database Sources,,,,,"Cooper, F. J."
782ecc8b-afc0-4bae-8de1-b848b5caa598,,,,,,,Lincolnshire Publishing Company,,,,,,,,,,,,,,,,Lincolnshire in the News,Newspaper Article,,,1429,,,,Lincoln Heritage Database Sources,,,1998,,
785c2a20-20b1-4939-9946-2bf90c022545,,,,,,,,,,,,,,,,,,,,,,,High Street from St Peter at Gowts parish looking north. A drawing,Drawing,,,1488,,,,Lincoln Heritage Database Sources,,,1818,,"Brooke, William Henry"
787d7ed9-f69e-4d8e-9704-21fad85ddd18,,,,,,,"Drury, E. B.",,,,,,,,,,,,,,,,"A Sketch, Illustrative of the Minster and Antiquities of the City of Lincoln",Drawing,,,2744,,,,Lincoln Heritage Database Sources,,,1835,,"Drury, E. B."
788a4ba0-e0df-404c-bab9-dc7ef4a37268,,,,,,,,,,,,,,,,,,,,,,,Plan of the City of Lincoln,Map,,,1235,,,,Lincoln Heritage Database Sources,,,1868,,"Padley, J. S."
7ad7d696-4919-452d-ab35-2046db380884,,,,,,,,,,,,,1786,,,,,,,1784,,,"Lincoln, Vicars College from the south",Drawing,,,2642,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
7c984019-47a9-4c71-b363-00d4d8581f27,,,,,,,Ordnance Survey,,,,,,,,,,,,,,,,1:500 Town Plan of Lincoln,Map,,,1154,,,,Lincoln Heritage Database Sources,,,1888,,Ordnance Survey
800609c7-334e-414f-8365-dfd28f0ecfc7,,,,,,,,,,,,,1788,,,,,,,1784,,,"Lincoln, Old St Marks church",Drawing,,,2654,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
817f31a8-b2ef-4069-84c4-a6c50c8e45a1,,,,,,,,,,,,,,,,,,,,,,,"Lincoln, St Giles Hospital",Drawing,,,2652,,,,Lincoln Heritage Database Sources,,,1786,,"Grimm, Samuel Hieronymous"
